pcd_file,weight,point_count,rounded_weight,mean_point_count_by_weight,point_count_percentage_deviation
1_split0_strawberry_dyson_lincoln_tbd__002_3.pcd,17.5,3270,18.0,5842.583333333333,-44.03160702314901
1_split0_strawberry_dyson_lincoln_tbd__003_3.pcd,22.8,2927,23.0,5770.346534653465,-49.27514348710117
1_split0_strawberry_dyson_lincoln_tbd__004_3.pcd,21.2,4325,21.0,5884.586206896552,-26.502903552823565
1_split0_strawberry_dyson_lincoln_tbd__005_3.pcd,18.8,245,19.0,5906.920863309352,-95.85232296708409
1_split0_strawberry_dyson_lincoln_tbd__007_3.pcd,24.7,2390,25.0,5660.064516129032,-57.77433290399061
1_split0_strawberry_dyson_lincoln_tbd__008_3.pcd,23.2,2230,23.0,5770.346534653465,-61.354140750336725
1_split0_strawberry_dyson_lincoln_tbd__009_3.pcd,19.5,1671,20.0,5588.3515625,-70.09851686473958
1_split0_strawberry_dyson_lincoln_tbd__010_3.pcd,19.5,2706,20.0,5588.3515625,-51.57784957270215
1_split0_strawberry_dyson_lincoln_tbd__011_3.pcd,18.9,4410,19.0,5906.920863309352,-25.34181340751368
1_split0_strawberry_dyson_lincoln_tbd__012_3.pcd,13.8,983,14.0,4591.616279069767,-78.59141661116443
1_split0_strawberry_dyson_lincoln_tbd__013_1.pcd,13.9,113,14.0,4591.616279069767,-97.5389929573363
1_split0_strawberry_dyson_lincoln_tbd__013_2.pcd,13.9,19,14.0,4591.616279069767,-99.58620235565832
1_split0_strawberry_dyson_lincoln_tbd__013_3.pcd,13.9,2400,14.0,4591.616279069767,-47.73082387262934
1_split0_strawberry_dyson_lincoln_tbd__017_3.pcd,24.7,303,25.0,5660.064516129032,-94.6467041296691
1_split0_strawberry_dyson_lincoln_tbd__021_3.pcd,29.7,5127,30.0,6917.291666666667,-25.881396259374156
1_split0_strawberry_dyson_lincoln_tbd__022_3.pcd,17.7,3760,18.0,5842.583333333333,-35.64490593487469
1_split0_strawberry_dyson_lincoln_tbd__023_2.pcd,10.4,3174,10.0,3807.6666666666665,-16.641862908167727
1_split0_strawberry_dyson_lincoln_tbd__024_3.pcd,20.2,1666,20.0,5588.3515625,-70.18798868740642
1_split0_strawberry_dyson_lincoln_tbd__026_3.pcd,21.3,4933,21.0,5884.586206896552,-16.170826179440148
1_split0_strawberry_dyson_lincoln_tbd__028_3.pcd,12.1,1907,12.0,4447.119047619048,-57.11830559109964
1_split0_strawberry_dyson_lincoln_tbd__029_3.pcd,15.7,608,16.0,5286.2164179104475,-88.49838992705614
1_split0_strawberry_dyson_lincoln_tbd__030_3.pcd,20.4,3689,20.0,5588.3515625,-33.98768923639993
1_split0_strawberry_dyson_lincoln_tbd__032_3.pcd,13.9,2244,14.0,4591.616279069767,-51.12832032090843
